,masterIncidentNumber,responseDate,reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,lat,long,x,y,policePrecinct,neighborhood,lastUpdateDate
103465,18-375204,2018/11/10 07:12:39+00,Investigative,Suspicious Person (P),ADV-Advised,NO,NO,NO,Black,Black,Male,44.99635,-93.28158,-10384058.35,5620947.422,4,Near - North,2018/11/11 08:20:35+00
103466,18-375211,2018/11/10 07:41:00+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,44.98353229,-93.28254007,-10384164.86,5618929.354,1,North Loop,2018/11/11 08:20:36+00
103467,18-375249,2018/11/10 08:23:37+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.9706832,-93.25343639,-10380925.05,5616907.337,1,Downtown East,2018/11/11 08:20:36+00
103468,18-375264,2018/11/10 08:53:52+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,White,White,Male,44.95777856,-93.29509939,-10385562.96,5614877.032,5,Lowry Hill East,2018/11/11 08:20:36+00
103469,18-375289,2018/11/10 09:38:18+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,44.9429157,-93.29261928,-10385286.87,5612539.204,5,CARAG,2018/11/11 08:20:36+00
103470,18-375298,2018/11/10 09:47:56+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,44.98658121,-93.27071508,-10382848.51,5619409.22,1,North Loop,2018/11/11 08:20:36+00
103471,18-375307,2018/11/10 10:01:01+00,,Suspicious Vehicle (P),INS-Inservice,,,,,,,45.01317,-93.26313,-10382003.76,5623594.369,2,Holland,2018/11/11 08:20:35+00
103472,18-375310,2018/11/10 10:04:37+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,44.98378979,-93.26669482,-10382400.98,5618969.881,1,North Loop,2018/11/11 08:20:36+00
103473,18-375315,2018/11/10 10:12:28+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.98337699,-93.26729403,-10382467.68,5618904.913,1,North Loop,2018/11/11 08:20:36+00
103474,18-375318,2018/11/10 10:15:18+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,White,White,Male,44.92779977,-93.31883895,-10388205.63,5610162.19,5,Linden Hills,2018/11/11 08:20:36+00
103475,18-375325,2018/11/10 10:29:25+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,White,White,Male,44.92779977,-93.31883895,-10388205.63,5610162.19,5,Linden Hills,2018/11/11 08:20:36+00
103476,18-375327,2018/11/10 10:32:17+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,44.97918668,-93.27310907,-10383115.01,5618245.449,1,Downtown West,2018/11/11 08:20:36+00
103477,18-375328,2018/11/10 10:32:56+00,Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,White,Female,44.91708716,-93.24730493,-10380242.5,5608477.988,3,Northrop,2018/11/11 08:20:34+00
103478,18-375332,2018/11/10 10:36:55+00,Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Asian,Female,44.95553,-93.27964,-10383841.88,5614523.862,5,Whittier,2018/11/11 08:20:35+00
103479,18-375340,2018/11/10 10:47:10+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.92690763,-93.3194861,-10388277.67,5610021.92,5,Linden Hills,2018/11/11 08:20:36+00
103480,18-375345,2018/11/10 10:59:50+00,Citizen / 9-1-1,Suspicious Vehicle (P),TAG-Tagged,NO,NO,NO,Unknown,Unknown,Unknown,44.95101864,-93.25756077,-10381384.18,5613813.668,3,Midtown Phillips,2018/11/11 08:20:33+00
103481,18-375351,2018/11/10 11:06:52+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.982576,-93.26841736,-10382592.73,5618778.85,1,North Loop,2018/11/11 08:20:36+00
103482,18-375364,2018/11/10 11:17:58+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,NO,Unknown,Black,Male,44.92779977,-93.31883895,-10388205.63,5610162.19,5,Linden Hills,2018/11/11 08:20:36+00
103483,18-375371,2018/11/10 11:28:35+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,44.98280403,-93.26071318,-10381735.1,5618814.739,1,Downtown West,2018/11/11 08:20:36+00
103484,18-375381,2018/11/10 11:41:05+00,Moving Violation,Suspicious Vehicle (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.94836658,-93.29637768,-10385705.26,5613396.52,5,Lowry Hill East,2018/11/11 08:20:36+00
103485,18-375406,2018/11/10 12:37:09+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,44.98378979,-93.26669482,-10382400.98,5618969.881,1,North Loop,2018/11/11 08:20:36+00
103486,18-375414,2018/11/10 12:46:11+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.98378979,-93.26669482,-10382400.98,5618969.881,1,North Loop,2018/11/11 08:20:36+00
103487,18-375421,2018/11/10 12:55:11+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.98378979,-93.26669482,-10382400.98,5618969.881,1,North Loop,2018/11/11 08:20:36+00
103488,18-375424,2018/11/10 13:06:25+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,44.98378979,-93.26669482,-10382400.98,5618969.881,1,North Loop,2018/11/11 08:20:36+00
103489,18-375449,2018/11/10 13:44:26+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,44.98378979,-93.26669482,-10382400.98,5618969.881,1,North Loop,2018/11/11 08:20:36+00
103490,18-375456,2018/11/10 13:55:16+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,44.982576,-93.26841736,-10382592.73,5618778.85,1,North Loop,2018/11/11 08:20:36+00
103491,18-375466,2018/11/10 14:08:00+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.98378979,-93.26669482,-10382400.98,5618969.881,1,North Loop,2018/11/11 08:20:36+00
103492,18-375469,2018/11/10 14:14:28+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,44.98378979,-93.26669482,-10382400.98,5618969.881,1,North Loop,2018/11/11 08:20:36+00
103493,18-375473,2018/11/10 14:21:40+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Male,45.00685325,-93.22689825,-10377970.84,5622600.455,2,Windom Park,2018/11/11 08:20:33+00
103494,18-375478,2018/11/10 14:29:38+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.97757335,-93.27074123,-10382851.42,5617991.56,1,Downtown West,2018/11/11 08:20:36+00
103495,18-375494,2018/11/10 14:46:21+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,44.97533503,-93.27763636,-10383618.98,5617639.327,1,Downtown West,2018/11/11 08:20:36+00
103496,18-375498,2018/11/10 14:50:37+00,Investigative,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Unknown,45.02125007,-93.29308047,-10385338.21,5624867.496,4,Folwell,2018/11/11 08:20:34+00
103497,18-375501,2018/11/10 14:55:31+00,Investigative,Traffic Law Enforcement (P),SNT-Sent,NO,NO,NO,Unknown,Black,Male,45.00025,-93.2941,-10385451.53,5621561.055,4,Jordan,2018/11/11 08:20:35+00
103498,18-375521,2018/11/10 15:37:24+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,White,Unknown,Male,44.90534,-93.23232,-10378573.87,5606631.201,3,Keewaydin,2018/11/11 08:20:35+00
103499,18-375525,2018/11/10 15:48:05+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Black,Black,Male,44.94836658,-93.29637768,-10385705.26,5613396.52,5,Lowry Hill East,2018/11/11 08:20:32+00
103500,18-375544,2018/11/10 16:14:41+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Black,Black,Male,44.98897,-93.29818,-10385905.75,5619785.598,4,Near - North,2018/11/11 08:20:35+00
103501,18-375574,2018/11/10 16:53:22+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,45.00716,-93.28493,-10384431.07,5622648.566,4,Hawthorne,2018/11/11 08:20:35+00
103502,18-375584,2018/11/10 17:08:46+00,Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,YES,Unknown,Black,Male,45.0015,-93.29258,-10385282.81,5621757.851,4,Hawthorne,2018/11/11 08:20:35+00
103503,18-375599,2018/11/10 17:32:09+00,Citizen / 9-1-1,Suspicious Person (P),AOK- All OK,NO,NO,NO,White,Unknown,Unknown,44.96327043,-93.28935955,-10384924,5615741.019,5,Lowry Hill East,2018/11/11 08:20:33+00
103504,18-375601,2018/11/10 17:34:33+00,Investigative,Suspicious Person (P),INF-Information,NO,YES,NO,White,White,Male,44.9769,-93.27223,-10383017.65,5617884.885,1,Downtown West,2018/11/11 08:20:35+00
103505,18-375604,2018/11/10 17:43:28+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,44.98650497,-93.27529839,-10383358.72,5619397.221,1,North Loop,2018/11/11 08:20:36+00
103506,18-375613,2018/11/10 17:56:45+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,East African,Male,44.98058078,-93.26543013,-10382260.19,5618464.845,1,Downtown West,2018/11/11 08:20:36+00
103507,18-375615,2018/11/10 17:58:18+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,44.89561,-93.27811,-10383671.38,5605102.727,5,Windom,2018/11/11 08:20:35+00
103508,18-375619,2018/11/10 18:01:18+00,Equipment Violation,Traffic Law Enforcement (P),TOW-Towed,NO,NO,YES,Black,Black,Male,45.00024,-93.29105,-10385112.72,5621559.731,4,Hawthorne,2018/11/11 08:20:35+00
103509,18-375647,2018/11/10 18:29:08+00,,Attempt Pick-Up (P),TRN-Transport,,,,,,,44.95195537,-93.26136643,-10381807.82,5613961.011,3,Midtown Phillips,2018/11/11 08:20:33+00
103510,18-375655,2018/11/10 18:37:12+00,Citizen / 9-1-1,Suspicious Person (P),SEC- Secured,NO,NO,YES,Unknown,Unknown,Unknown,44.89348919,-93.29597468,-10385660.39,5604769.095,5,Kenny,2018/11/11 08:20:33+00
103511,18-375657,2018/11/10 18:38:02+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,44.97918954,-93.28802736,-10384775.7,5618245.9,4,North Loop,2018/11/11 08:20:36+00
103512,18-375668,2018/11/10 18:49:49+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,44.98058948,-93.28802682,-10384775.64,5618466.215,4,Sumner - Glenwood,2018/11/11 08:20:36+00
103513,18-375671,2018/11/10 18:51:32+00,Equipment Violation,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.98072,-93.30832,-10387035.02,5618486.749,4,Harrison,2018/11/11 08:20:35+00
103514,18-375674,2018/11/10 18:55:30+00,Citizen / 9-1-1,Suspicious Vehicle (P),AQT-All Quiet,NO,NO,NO,White,White,Male,44.95199,-93.23471,-10378840.65,5613966.441,3,Longfellow,2018/11/11 08:20:35+00
103515,18-375688,2018/11/10 19:06:36+00,,Suspicious Vehicle (P),TAG-Tagged,,,,,,,44.94383284,-93.24993158,-10380534.9,5612683.446,3,Powderhorn Park,2018/11/11 08:20:33+00
103516,18-375689,2018/11/10 19:07:05+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,44.98113358,-93.28764936,-10384733.62,5618551.844,4,Sumner - Glenwood,2018/11/11 08:20:36+00
103517,18-375692,2018/11/10 19:09:45+00,Equipment Violation,Traffic Law Enforcement (P),TOW-Towed,NO,NO,NO,Unknown,Black,Male,44.97087,-93.27354,-10383163.11,5616936.567,1,Downtown West,2018/11/11 08:20:35+00
103518,18-375696,2018/11/10 19:14:32+00,,Traffic Law Enforcement (P),TAG-Tagged,,,,,,,44.97245,-93.22309,-10377546.62,5617185.373,2,Prospect Park - East River Road,2018/11/11 08:20:35+00
103519,18-375703,2018/11/10 19:26:44+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,White,Unknown,Unknown,44.99870848,-93.2595623,-10381606.99,5621318.165,2,Sheridan,2018/11/11 08:20:33+00
103520,18-375709,2018/11/10 19:30:44+00,,Traffic Law Enforcement (P),ADV-Advised,,,,,,,45.01131,-93.28801,-10384773.84,5623302.476,4,Hawthorne,2018/11/11 08:20:35+00
103521,18-375710,2018/11/10 19:32:23+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,45.0149,-93.28495,-10384432.68,5623868.082,4,McKinley,2018/11/11 08:20:35+00
103522,18-375715,2018/11/10 19:36:16+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Other,Male,44.95374581,-93.29728408,-10385806.16,5614242.648,5,Lowry Hill East,2018/11/11 08:20:36+00
103523,18-375718,2018/11/10 19:39:25+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Black,Black,Male,44.9951,-93.24098,-10379538.15,5620749.67,2,Beltrami,2018/11/11 08:20:35+00
103524,18-375726,2018/11/10 19:46:47+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Male,44.9377,-93.28563,-10384508.61,5611718.8,5,Lyndale,2018/11/11 08:20:35+00
103525,18-375728,2018/11/10 19:48:54+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Asian,Male,44.94836481,-93.29764471,-10385846.3,5613396.241,5,Lowry Hill East,2018/11/11 08:20:36+00
103526,18-375729,2018/11/10 19:49:24+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,White,White,Male,45.00411164,-93.24735181,-10380247.72,5622168.802,2,Logan Park,2018/11/11 08:20:36+00
103527,18-375734,2018/11/10 19:56:36+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.94835,-93.27538,-10383368.31,5613394.171,5,Whittier,2018/11/11 08:20:35+00
103528,18-375737,2018/11/10 19:58:59+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.94835432,-93.21719286,-10376890.44,5613394.591,3,Cooper,2018/11/11 08:20:36+00
103529,18-375745,2018/11/10 20:05:50+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Unknown,Black,Male,44.99916,-93.29564,-10385622.68,5621389.488,4,Near - North,2018/11/11 08:20:35+00
103530,18-375754,2018/11/10 20:11:52+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Black,Black,Female,45.00938986,-93.24736666,-10380249.37,5622999.849,2,Holland,2018/11/11 08:20:36+00
103531,18-375758,2018/11/10 20:18:50+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,45.02218343,-93.24735182,-10380247.72,5625014.489,2,Audubon Park,2018/11/11 08:20:36+00
103532,18-375764,2018/11/10 20:24:37+00,Citizen / 9-1-1,Suspicious Person (P),UNF-Unfounded,NO,NO,NO,Unknown,Unknown,Male,44.9592,-93.27149,-10382934.4,5615100.784,5,Whittier,2018/11/11 08:20:35+00
103533,18-375784,2018/11/10 20:49:54+00,Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,NO,YES,NO,Unknown,Unknown,Male,44.97839171,-93.27422196,-10383238.89,5618120.344,1,Downtown West,2018/11/11 08:20:33+00
103534,18-375806,2018/11/10 21:09:11+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,44.90060998,-93.30356564,-10386505.42,5605888.11,5,Kenny,2018/11/11 08:20:33+00
103535,18-375808,2018/11/10 21:10:36+00,Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Unknown,44.94382099,-93.29069524,-10385072.69,5612681.582,5,CARAG,2018/11/11 08:20:34+00
103536,18-375810,2018/11/10 21:14:25+00,,Traffic Law Enforcement (P),ADV-Advised,,,,,,,45.00052,-93.24733,-10380244.95,5621602.777,2,Northeast Park,2018/11/11 08:20:35+00
103537,18-375827,2018/11/10 21:28:30+00,Citizen / 9-1-1,Suspicious Person (P),UNF-Unfounded,NO,NO,NO,Unknown,Unknown,Unknown,44.96273247,-93.25396045,-10380983.39,5615656.383,3,Ventura Village,2018/11/11 08:20:36+00
103538,18-375833,2018/11/10 21:32:09+00,,Traffic Law Enforcement (P),ADV-Advised,,,,,,,44.9466,-93.2843,-10384361.27,5613119.124,5,Lyndale,2018/11/11 08:20:35+00
103539,18-375859,2018/11/10 21:59:21+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,44.972894,-93.27369104,-10383179.79,5617255.21,1,Downtown West,2018/11/11 08:20:34+00
103540,18-375868,2018/11/10 22:16:06+00,Citizen / 9-1-1,Suspicious Person (P),UTL-Unable to Locate,NO,NO,NO,Black,Unknown,Unknown,45.01587678,-93.25308649,-10380886.1,5624021.306,2,Holland,2018/11/11 08:20:32+00
103541,18-375872,2018/11/10 22:23:46+00,Moving Violation,Suspicious Vehicle (P),ADV-Advised,NO,YES,YES,Unknown,White,Male,45.02485438,-93.29059709,-10385061.76,5625435.149,4,Webber - Camden,2018/11/11 08:20:34+00
103542,18-375873,2018/11/10 22:23:48+00,,Suspicious Person (P),BKG-Booking,,,,,,,44.97596197,-93.28345573,-10384266.79,5617737.983,1,North Loop,2018/11/11 08:20:34+00
103543,18-375881,2018/11/10 22:30:30+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.94835,-93.28301,-10384217.72,5613394.31,5,Lyndale,2018/11/11 08:20:35+00
103544,18-375896,2018/11/10 22:47:20+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,44.98215,-93.23994,-10379423.08,5618711.586,2,Marcy Holmes,2018/11/11 08:20:35+00
103545,18-375899,2018/11/10 22:48:50+00,,Traffic Law Enforcement (P),,,,,,,,44.99874,-93.30192,-10386322.05,5621323.463,4,Willard - Hay,2018/11/11 08:20:35+00
103546,18-375902,2018/11/10 22:51:48+00,Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Male,44.97837186,-93.27539854,-10383369.87,5618117.22,1,Downtown West,2018/11/11 08:20:36+00
103547,18-375903,2018/11/10 22:53:31+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,45.0014967,-93.29181755,-10385197.63,5621757.114,4,Hawthorne,2018/11/11 08:20:36+00
103548,18-375915,2018/11/10 23:11:58+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Unknown,44.94565103,-93.24062754,-10379499.18,5612969.408,3,Corcoran,2018/11/11 08:20:33+00
103549,18-375922,2018/11/10 23:32:03+00,Investigative,Traffic Law Enforcement (P),AOK- All OK,NO,NO,NO,Unknown,Latino,Male,44.93506933,-93.21148714,-10376255.29,5611305.266,3,Howe,2018/11/11 08:20:33+00
103550,18-375927,2018/11/10 23:38:00+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Unknown,Black,Male,44.99914,-93.29105,-10385111.75,5621386.86,4,Near - North,2018/11/11 08:20:35+00
103551,18-375935,2018/11/10 23:44:17+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,YES,YES,Unknown,Latino,Male,44.93202621,-93.20313209,-10375325.2,5610826.744,3,Howe,2018/11/11 08:20:32+00
103552,18-375940,2018/11/10 23:51:09+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,YES,YES,Unknown,Black,Male,44.99149848,-93.30257997,-10386395.69,5620183.195,4,Near - North,2018/11/11 08:20:34+00
103553,18-375941,2018/11/10 23:51:14+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.97577,-93.27796,-10383654.85,5617708.537,1,Downtown West,2018/11/11 08:20:35+00
103554,18-375943,2018/11/10 23:52:26+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,45.01316622,-93.27235112,-10383030.63,5623594.477,2,Marshall Terrace,2018/11/11 08:20:36+00
103555,18-375950,2018/11/10 23:59:43+00,Moving Violation,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,45.02936492,-93.28872808,-10384853.71,5626145.577,4,Webber - Camden,2018/11/11 08:20:36+00
103556,18-375962,2018/11/11 00:12:18+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,45.01857,-93.29685,-10385757.96,5624445.562,4,Folwell,2018/11/11 08:20:35+00
103557,18-375982,2018/11/11 00:41:44+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.9915,-93.30195,-10386326.08,5620182.773,4,Near - North,2018/11/11 08:20:35+00
103558,18-375983,2018/11/11 00:42:07+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,44.98081,-93.29916,-10386015.47,5618500.498,4,Harrison,2018/11/11 08:20:35+00
103559,18-375985,2018/11/11 00:42:27+00,,Suspicious Person (P),NOS-No Service,,,,,,,44.94565103,-93.24062754,-10379499.18,5612969.408,3,Corcoran,2018/11/11 08:20:33+00
103560,18-375993,2018/11/11 00:57:04+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Other,Unknown,Male,44.96273,-93.25231,-10380799.59,5615656.137,3,Ventura Village,2018/11/11 08:20:35+00
103561,18-376008,2018/11/11 01:20:02+00,Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,NO,NO,White,White,Male,44.94960945,-93.29827352,-10385916.3,5613592.011,5,Lowry Hill East,2018/11/11 08:20:36+00
103562,18-376014,2018/11/11 01:26:50+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,44.94750847,-93.27030258,-10382802.59,5613261.551,3,Central,2018/11/11 08:20:36+00
103563,18-376020,2018/11/11 01:33:25+00,Investigative,Suspicious Person (P),SNT-Sent,NO,NO,NO,Black,Black,Male,44.98431023,-93.27949587,-10383825.98,5619051.791,1,North Loop,2018/11/11 08:20:36+00
103564,18-376027,2018/11/11 01:41:07+00,,Suspicious Person (P),SNT-Sent,,,,,,,44.94925921,-93.29954633,-10386057.99,5613536.921,5,East Isles,2018/11/11 08:20:34+00
103565,18-376030,2018/11/11 01:46:00+00,Investigative,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.99879,-93.31077,-10387307.59,5621330.469,4,Willard - Hay,2018/11/11 08:20:35+00
103566,18-376041,2018/11/11 01:55:43+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,44.99580871,-93.28156575,-10384056.4,5620861.678,4,Near - North,2018/11/11 08:20:36+00
103567,18-376043,2018/11/11 01:58:17+00,Citizen / 9-1-1,Suspicious Person (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Unknown,44.94565103,-93.24062754,-10379499.18,5612969.408,3,Corcoran,2018/11/11 08:20:33+00
103568,18-376049,2018/11/11 02:02:43+00,Investigative,Suspicious Vehicle (P),SNT-Sent,NO,NO,NO,Unknown,White,Male,44.99378506,-93.27075687,-10382853.16,5620543.125,4,St. Anthony West,2018/11/11 08:20:33+00
103569,18-376053,2018/11/11 02:09:19+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,45.00772,-93.28926,-10384912.67,5622737.501,4,Hawthorne,2018/11/11 08:20:35+00
103570,18-376058,2018/11/11 02:12:14+00,Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,East African,Female,44.99827813,-93.28172579,-10384074.22,5621250.417,4,Near - North,2018/11/11 08:20:36+00
103571,18-376066,2018/11/11 02:17:05+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,45.00262,-93.29893,-10385989.9,5621933.909,4,Jordan,2018/11/11 08:20:35+00
103572,18-376068,2018/11/11 02:19:41+00,Citizen / 9-1-1,Suspicious Vehicle (P),AQT-All Quiet,NO,NO,NO,Unknown,Unknown,Unknown,45.02125007,-93.29308047,-10385338.21,5624867.496,4,Folwell,2018/11/11 08:20:34+00
103573,18-376075,2018/11/11 02:27:54+00,Citizen / 9-1-1,Suspicious Person (P),AQT-All Quiet,NO,NO,NO,Unknown,Unknown,Unknown,44.98879259,-93.30447985,-10386607.19,5619757.281,4,Near - North,2018/11/11 08:20:33+00
103574,18-376114,2018/11/11 03:26:41+00,Citizen / 9-1-1,Suspicious Vehicle (P),SNT-Sent,NO,NO,NO,Unknown,White,Female,44.96184911,-93.24250565,-10379708.25,5615517.407,3,Seward,2018/11/11 08:20:34+00
103575,18-376115,2018/11/11 03:27:52+00,,Suspicious Person (P),SNT-Sent,,,,,,,44.9915029,-93.30508811,-10386674.9,5620183.891,4,Willard - Hay,2018/11/11 08:20:34+00
103576,18-376127,2018/11/11 04:08:33+00,Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Male,44.89875836,-93.29339395,-10385373.11,5605597.119,5,Kenny,2018/11/11 08:20:33+00
103577,18-376128,2018/11/11 04:09:45+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,44.96091273,-93.28737755,-10384703.37,5615370.093,5,Whittier,2018/11/11 08:20:36+00
103578,18-376137,2018/11/11 04:38:01+00,Investigative,Suspicious Person (P),ADV-Advised,NO,NO,NO,Unknown,Other,Male,44.9915029,-93.30508811,-10386674.9,5620183.891,4,Willard - Hay,2018/11/11 08:20:34+00
103579,18-376139,2018/11/11 04:45:34+00,Investigative,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Native American,Native American,Female,44.94044075,-93.27791575,-10383650.08,5612149.969,5,Lyndale,2018/11/11 08:20:36+00
103580,18-376146,2018/11/11 05:14:16+00,Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Latino,Latino,Male,44.94044075,-93.27791575,-10383650.08,5612149.969,5,Lyndale,2018/11/11 08:20:36+00
