,masterIncidentNumber,responseDate,reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,lat,long,x,y,policePrecinct,neighborhood,lastUpdateDate
106767,18-406848,2018/12/12 23:20:10+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,44.96395,-93.27529,-10383358.09,5615848.453,5,Steven's Square - Loring Heights,2018/12/13 08:20:38+00
106768,18-406852,2018/12/12 23:23:58+00,Investigative,Traffic Law Enforcement (P),TOW-Towed,YES,NO,NO,White,White,Female,44.94044075,-93.27791575,-10383650.08,5612149.969,5,Lyndale,2018/12/13 08:20:40+00
106769,18-406861,2018/12/12 23:34:13+00,Investigative,Suspicious Person (P),ADV-Advised,NO,NO,NO,White,White,Male,45.03021,-93.26001,-10381657.35,5626278.188,2,Columbia Park,2018/12/13 08:20:38+00
106770,18-406881,2018/12/13 00:08:15+00,Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,44.92052558,-93.28054774,-10383943.08,5609018.53,5,King Field,2018/12/13 08:20:37+00
106771,18-406884,2018/12/13 00:11:33+00,,Suspicious Vehicle (P),CNL-Cancel,,,,,,,44.98561,-93.26051,-10381712.82,5619256.814,2,Nicollet Island - East Bank,2018/12/13 08:20:38+00
106772,18-406896,2018/12/13 00:33:06+00,Equipment Violation,Traffic Law Enforcement (P),RPT-Report,YES,YES,YES,Black,Black,Male,45.00024,-93.28494,-10384432.17,5621559.093,4,Hawthorne,2018/12/13 08:20:38+00
106773,18-406898,2018/12/13 00:37:45+00,Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,44.94836,-93.28135,-10384032.91,5613394.952,5,Whittier,2018/12/13 08:20:38+00
106774,18-406911,2018/12/13 01:06:21+00,Investigative,Suspicious Vehicle (P),SEC- Secured,NO,NO,NO,Unknown,Latino,Male,45.03509428,-93.25994979,-10381650.12,5627048.055,2,Columbia Park,2018/12/13 08:20:40+00
106775,18-406926,2018/12/13 01:15:52+00,Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Unknown,44.99914,-93.28952,-10384942.07,5621385.65,4,Hawthorne,2018/12/13 08:20:38+00
106776,18-406938,2018/12/13 01:23:33+00,Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Unknown,White,Male,44.9474943,-93.2779272,-10383651.36,5613259.322,5,Lyndale,2018/12/13 08:20:40+00
106777,18-406954,2018/12/13 01:35:08+00,Investigative,Suspicious Person (P),UTL-Unable to Locate,NO,NO,NO,Unknown,Unknown,Male,45.03554559,-93.2577254,-10381402.5,5627119.148,2,Columbia Park,2018/12/13 08:20:38+00
106778,18-406955,2018/12/13 01:37:30+00,Investigative,Suspicious Person (P),SNT-Sent,NO,NO,NO,Unknown,Black,Male,44.93502074,-93.27791176,-10383649.64,5611297.625,5,King Field,2018/12/13 08:20:40+00
106779,18-406960,2018/12/13 01:48:59+00,Citizen / 9-1-1,Suspicious Person (P),RPT-Report,NO,YES,YES,Black,Native American,Male,44.95463629,-93.26260819,-10381946.05,5614382.724,3,Phillips West,2018/12/13 08:20:37+00
106780,18-406980,2018/12/13 02:18:50+00,Moving Violation,Suspicious Vehicle (P),BKG-Booking,YES,YES,YES,Unknown,Black,Unknown,44.9796,-93.27483,-10383306.16,5618310.103,1,Downtown West,2018/12/13 08:20:38+00
106781,18-406984,2018/12/13 02:26:27+00,Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Unknown,45.0077584,-93.28027746,-10383912.99,5622742.971,4,Hawthorne,2018/12/13 08:20:40+00
106782,18-406989,2018/12/13 02:37:27+00,Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,NO,NO,Native American,Native American,Male,44.9627661,-93.25108221,-10380662.99,5615661.674,3,Ventura Village,2018/12/13 08:20:40+00
